player,runs,boundaries,boundaries_percent,balls_faced,matches,batting_avg,batting_strike_rate
A Ashish Reddy,280,31,15.82,196,28,10,142.86
A Badoni,161,18,12.95,139,11,14.64,115.83
A Mishra,362,34,8.29,410,154,2.35,88.29
A Symonds,974,115,14.72,781,36,27.06,124.71
AA Jhunjhunwala,217,24,11.01,218,18,12.06,99.54
AB Agarkar,179,18,11.25,160,42,4.26,111.87
AB McDonald,123,13,12.62,103,10,12.3,119.42
AB de Villiers,5181,667,19.13,3487,170,30.48,148.58
AC Gilchrist,2069,331,21.29,1555,80,25.86,133.05
AC Voges,181,18,12.59,143,8,22.62,126.57
AD Hales,148,19,15.97,119,6,24.67,124.37
AD Mathews,724,73,12.19,599,46,15.74,120.87
AD Russell,2039,313,25.83,1212,95,21.46,168.23
AJ Finch,2092,292,17.22,1696,90,23.24,123.35
AK Markram,527,60,15,400,19,27.74,131.75
AL Menaria,401,42,11.44,367,25,16.04,109.26
AM Nayar,672,75,12.76,588,51,13.18,114.29
AM Rahane,4074,511,14.75,3465,148,27.53,117.58
AP Tare,339,51,17.89,285,27,12.56,118.95
AR Patel,1135,121,13.17,919,122,9.3,123.5
AS Raut,194,20,11.63,172,17,11.41,112.79
AT Rayudu,4190,513,15.2,3375,173,24.22,124.15
Abdul Samad,228,26,15.85,164,19,12,139.02
Abhishek Sharma,667,89,17.42,511,36,18.53,130.53
Anuj Rawat,129,17,13.71,124,9,14.33,104.03
Azhar Mahmood,388,52,16.72,311,23,16.87,124.76
B Chipli,280,35,13.67,256,21,13.33,109.38
B Kumar,241,26,10.04,259,146,1.65,93.05
B Lee,124,16,15.69,102,38,3.26,121.57
B Sai Sudharsan,145,17,14.41,118,5,29,122.88
BA Stokes,920,111,15.79,703,43,21.4,130.87
BB McCullum,2882,423,18.62,2272,109,26.44,126.85
BB Samantray,125,15,12.93,116,8,15.62,107.76
BCJ Cutting,238,34,23.29,146,21,11.33,163.01
BJ Hodge,1400,165,14.31,1153,63,22.22,121.42
BJ Rohrer,193,26,17.81,146,8,24.12,132.19
Bipul Sharma,187,20,16.13,124,29,6.45,150.81
C Munro,177,27,18.75,144,12,14.75,122.92
C de Grandhomme,303,36,15.72,229,25,12.12,132.31
CA Ingram,205,27,14.75,183,15,13.67,112.02
CA Lynn,1329,198,20.33,974,42,31.64,136.45
CA Pujara,390,54,13.4,403,22,17.73,96.77
CH Gayle,4997,767,21.81,3516,141,35.44,142.12
CH Morris,618,76,18.4,413,81,7.63,149.64
CJ Anderson,538,71,16.28,436,30,17.93,123.39
CJ Ferguson,98,9,7.56,119,8,12.25,82.35
CL White,971,114,14.73,774,45,21.58,125.45
CM Gautam,169,23,14.56,158,13,13,106.96
CR Brathwaite,181,26,21.67,120,16,11.31,150.83
D Brevis,161,25,21.55,116,7,23,138.79
D Padikkal,1260,172,16.27,1057,46,27.39,119.21
DA Miller,2455,282,15.34,1838,101,24.31,133.57
DA Warner,5883,793,18.39,4313,162,36.31,136.4
DB Das,304,39,14.61,267,22,13.82,113.86
DB Ravi Teja,375,44,13.54,325,25,15,115.38
DH Yagnik,170,25,17.61,142,17,10,119.72
DJ Bravo,1560,186,14.92,1247,160,9.75,125.1
DJ Harris,111,16,15.53,103,4,27.75,107.77
DJ Hooda,1237,133,13.71,970,80,15.46,127.53
DJ Hussey,1322,150,13.62,1101,61,21.67,120.07
DJ Jacobs,92,14,13.86,101,7,13.14,91.09
DJG Sammy,295,33,13.15,251,22,13.41,117.53
DJM Short,115,16,15.69,102,7,16.43,112.75
DL Vettori,121,13,11.02,118,34,3.56,102.54
DP Conway,252,35,19.89,176,7,36,143.18
DPMD Jayawardene,1808,240,15.77,1522,78,23.18,118.79
DR Smith,2385,362,20.08,1803,91,26.21,132.28
DS Kulkarni,104,9,7.96,113,92,1.13,92.04
DT Christian,460,42,10.29,408,49,9.39,112.75
DW Steyn,167,17,10.43,163,95,1.76,102.45
E Lewis,654,98,19.64,499,26,25.15,131.06
EJG Morgan,1406,176,14.9,1181,74,19,119.05
F du Plessis,3403,424,15.84,2676,109,31.22,127.17
FY Fazal,183,23,12.85,179,12,15.25,102.23
G Gambhir,4217,551,15.64,3524,151,27.93,119.67
GC Smith,739,103,14.91,691,29,25.48,106.95
GH Vihari,284,24,7.25,331,23,12.35,85.8
GJ Bailey,663,78,14.13,552,36,18.42,120.11
GJ Maxwell,2320,325,20.69,1571,109,21.28,147.68
Gurkeerat Singh,511,66,15.14,436,32,15.97,117.2
HH Gibbs,886,114,13.62,837,36,24.61,105.85
HH Pandya,1972,257,18.28,1406,105,18.78,140.26
HM Amla,577,81,19.38,418,16,36.06,138.04
HV Patel,230,28,14.81,189,77,2.99,121.69
Harbhajan Singh,833,121,19.03,636,163,5.11,130.97
Harpreet Brar,106,11,11,100,15,7.07,106
IK Pathan,1150,126,12.79,985,102,11.27,116.75
IR Jaggi,76,6,6,100,7,10.86,76
Ishan Kishan,1870,251,17.38,1444,70,26.71,129.5
J Botha,409,44,12.09,364,34,12.03,112.36
JA Morkel,975,116,16.29,712,90,10.83,136.94
