"Name","runs","boundaries","boundaries_percent","balls_faced","matches","batting_avg","batting_strike_rate","batting_style"
"A Badoni",161,18,12.95,139,11,14.64,115.83,"right-hand bat"
"A Mishra",362,34,8.29,410,154,2.35,88.29,"right-hand bat"
"AD Russell",2039,313,25.83,1212,95,21.46,168.23,"right-hand bat"
"AK Markram",527,60,15,400,19,27.74,131.75,"right-hand bat"
"AM Rahane",4074,511,14.75,3465,148,27.53,117.58,"right-hand bat"
"AR Patel",1135,121,13.17,919,122,9.3,123.5,"left-hand bat"
"Abdul Samad",228,26,15.85,164,19,12,139.02,"right-hand bat"
"Abhishek Sharma",667,89,17.42,511,36,18.53,130.53,"left-hand bat"
"Anuj Rawat",129,17,13.71,124,9,14.33,104.03,"left-hand bat"
"B Kumar",241,26,10.04,259,146,1.65,93.05,"right-hand bat"
"B Sai Sudharsan",145,17,14.41,118,5,29,122.88,"left-hand bat"
"D Brevis",161,25,21.55,116,7,23,138.79,"right-hand bat"
"D Padikkal",1260,172,16.27,1057,46,27.39,119.21,"left-hand bat"
"DA Miller",2455,282,15.34,1838,101,24.31,133.57,"left-hand bat"
"DA Warner",5883,793,18.39,4313,162,36.31,136.4,"left-hand bat"
"DJ Hooda",1237,133,13.71,970,80,15.46,127.53,"right-hand bat"
"DP Conway",252,35,19.89,176,7,36,143.18,"left-hand bat"
"F du Plessis",3403,424,15.84,2676,109,31.22,127.17,"right-hand bat"
"GJ Maxwell",2320,325,20.69,1571,109,21.28,147.68,"right-hand bat"
"HH Pandya",1972,257,18.28,1406,105,18.78,140.26,"right-hand bat"
"HV Patel",230,28,14.81,189,77,2.99,121.69,"right-hand bat"
"Ishan Kishan",1870,251,17.38,1444,70,26.71,129.5,"left-hand bat"
"JC Buttler",2832,413,21.13,1955,81,34.96,144.86,"right-hand bat"
"JD Unadkat",164,19,13.97,136,90,1.82,120.59,"right-hand bat"
"JJ Roy",329,48,18.18,264,13,25.31,124.62,"right-hand bat"
"JM Bairstow",1291,188,20.11,935,39,33.1,138.07,"right-hand bat"
"JM Sharma",234,34,22.82,149,10,23.4,157.05,"right-hand bat"
"K Gowtham",186,25,21.74,115,28,6.64,161.74,"right-hand bat"
"K Rabada",186,22,11.7,188,63,2.95,98.94,"left-hand bat"
"KD Karthik",4377,560,16.54,3386,207,21.14,129.27,"right-hand bat"
"KH Pandya",1326,171,17.05,1003,98,13.53,132.2,"left-hand bat"
"KL Rahul",3895,491,16.74,2933,99,39.34,132.8,"right-hand bat"
"KS Bharat",199,20,11.9,168,8,24.88,118.45,"right-hand bat"
"KS Williamson",2105,247,14.47,1707,74,28.45,123.32,"right-hand bat"
"KV Sharma",317,32,11.23,285,67,4.73,111.23,"left-hand bat"
"Kuldeep Yadav",105,10,7.69,130,59,1.78,80.77,"left-hand bat"
"LS Livingstone",549,78,22.16,352,23,23.87,155.97,"right-hand bat"
"Lalit Yadav",229,25,11.01,227,17,13.47,100.88,"right-hand bat"
"M Shahrukh Khan",270,32,13.56,236,18,15,114.41,"right-hand bat"
